origin,destination,number_of_passengers
"Boston, MA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2404.5
"Boston, MA (Metropolitan Area)","Kansas City, MO",628.0
"Boston, MA (Metropolitan Area)","San Antonio, TX",355.5
"Boston, MA (Metropolitan Area)","Memphis, TN",220.0
"Boston, MA (Metropolitan Area)","Omaha, NE",220.0
"Boston, MA (Metropolitan Area)","Milwaukee, WI",493.85714285714283
"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",7389.5
"Boston, MA (Metropolitan Area)","Tucson, AZ",169.0
"Chicago, IL","Albany, NY",303.5
"Chicago, IL","Birmingham, AL",360.14285714285717
"Chicago, IL","Boise, ID",209.0
"Chicago, IL","Buffalo, NY",531.0
"Chicago, IL","Pittsburgh, PA",1092.25
"Chicago, IL","Hartford, CT",687.75
"Chicago, IL","El Paso, TX",213.0
"Chicago, IL","Cleveland, OH (Metropolitan Area)",1207.5
"Chicago, IL","Nashville, TN",1286.0
"Chicago, IL","Columbus, OH",1089.75
"Chicago, IL","St. Louis, MO",1056.75
"Chicago, IL","Jacksonville, FL",595.5
"Chicago, IL","Houston, TX",2465.5
"Chicago, IL","Orlando, FL",4023.5
"Chicago, IL","New York City, NY (Metropolitan Area)",11630.0
"Chicago, IL","Fort Myers, FL",1363.5
"Chicago, IL","Las Vegas, NV",3557.25
"Chicago, IL","Indianapolis, IN",290.5
"Chicago, IL","San Francisco, CA (Metropolitan Area)",5000.75
"Chicago, IL","Miami, FL (Metropolitan Area)",4279.25
"Chicago, IL","Los Angeles, CA (Metropolitan Area)",7054.5
"Chicago, IL","Louisville, KY",402.5
"Chicago, IL","Sacramento, CA",632.6
"Chicago, IL","Tampa, FL (Metropolitan Area)",2223.0
"Chicago, IL","Kansas City, MO",1450.25
"Chicago, IL","San Antonio, TX",911.25
"Chicago, IL","Memphis, TN",556.5
"Chicago, IL","Omaha, NE",730.75
"Chicago, IL","New Orleans, LA",1321.8
"Chicago, IL","Norfolk, VA (Metropolitan Area)",476.5
"Chicago, IL","Oklahoma City, OK",379.75
"Chicago, IL","Raleigh/Durham, NC",1244.5
"Chicago, IL","Reno, NV",264.0
"Chicago, IL","Washington, DC (Metropolitan Area)",5229.5
"Chicago, IL","Tucson, AZ",335.6666666666667
"Chicago, IL","Seattle, WA",1507.0
"Chicago, IL","Detroit, MI",1461.0
"Chicago, IL","Minneapolis/St. Paul, MN",2950.0
"Chicago, IL","Cincinnati, OH",859.0
"Chicago, IL","Philadelphia, PA",2375.25
"Chicago, IL","Salt Lake City, UT",960.0
"Chicago, IL","Spokane, WA",200.0
"Chicago, IL","Tulsa, OK",198.33333333333334
"Chicago, IL","Charleston, SC",618.75
"Chicago, IL","Atlanta, GA (Metropolitan Area)",4025.25
"Chicago, IL","Charlotte, NC",1367.75
"Houston, TX","Amarillo, TX",200.0
"Houston, TX","Hartford, CT",201.33333333333334
"Houston, TX","Birmingham, AL",313.75
"Houston, TX","El Paso, TX",397.25
"Houston, TX","Cleveland, OH (Metropolitan Area)",452.5
"Houston, TX","Buffalo, NY",211.0
"Houston, TX","Charleston, SC",236.4
"Houston, TX","Columbus, OH",371.0
"Houston, TX","Pittsburgh, PA",626.75
"Houston, TX","Nashville, TN",768.75
"Houston, TX","St. Louis, MO",654.5
"Houston, TX","Jacksonville, FL",273.75
"Houston, TX","New York City, NY (Metropolitan Area)",4124.5
"Houston, TX","Las Vegas, NV",1899.6666666666667
"Houston, TX","Indianapolis, IN",448.6
"Houston, TX","San Francisco, CA (Metropolitan Area)",2107.0
"Houston, TX","Miami, FL (Metropolitan Area)",1808.0
"Houston, TX","Little Rock, AR",195.0
