origin,destination,nsmiles
"Chicago, IL","Oklahoma City, OK",1114
"Chicago, IL","Raleigh/Durham, NC",1064
"Chicago, IL","Reno, NV",2683
"Chicago, IL","Washington, DC (Metropolitan Area)",945
"Chicago, IL","Tucson, AZ",2309
"Chicago, IL","Seattle, WA",2761
"Chicago, IL","Detroit, MI",376
"Chicago, IL","Minneapolis/St. Paul, MN",536
"Chicago, IL","Cincinnati, OH",425
"Chicago, IL","Philadelphia, PA",1088
"Chicago, IL","Salt Lake City, UT",2006
"Chicago, IL","Spokane, WA",2404
"Chicago, IL","Tulsa, OK",941
"Chicago, IL","Charleston, SC",1224
"Chicago, IL","Atlanta, GA (Metropolitan Area)",976
"Chicago, IL","Charlotte, NC",964
"Houston, TX","Amarillo, TX",832
"Houston, TX","Hartford, CT",2422
"Houston, TX","Birmingham, AL",903
"Houston, TX","El Paso, TX",1071
"Houston, TX","Cleveland, OH (Metropolitan Area)",1756
"Houston, TX","Buffalo, NY",2061
"Houston, TX","Charleston, SC",1485
"Houston, TX","Columbus, OH",1586
"Houston, TX","Pittsburgh, PA",1797
"Houston, TX","Nashville, TN",1056
"Houston, TX","St. Louis, MO",1068
"Houston, TX","Jacksonville, FL",1312
"Houston, TX","New York City, NY (Metropolitan Area)",2277
"Houston, TX","Las Vegas, NV",1962
"Houston, TX","Indianapolis, IN",1359
"Houston, TX","San Francisco, CA (Metropolitan Area)",2627
"Houston, TX","Miami, FL (Metropolitan Area)",1549
"Houston, TX","Little Rock, AR",603
"Houston, TX","Louisville, KY",1268
"Houston, TX","Sacramento, CA",2585
"Houston, TX","Tampa, FL (Metropolitan Area)",1265
"Houston, TX","Kansas City, MO",1037
"Houston, TX","San Antonio, TX",306
"Houston, TX","Memphis, TN",754
"Houston, TX","Omaha, NE",1259
"Houston, TX","Milwaukee, WI",1586
"Houston, TX","New Orleans, LA",489
"Houston, TX","San Diego, CA",2093
"Houston, TX","Norfolk, VA (Metropolitan Area)",1930
"Houston, TX","Oklahoma City, OK",637
"Houston, TX","Portland, OR",2933
"Houston, TX","Raleigh/Durham, NC",1674
"Houston, TX","Washington, DC (Metropolitan Area)",1913
"Houston, TX","Philadelphia, PA",2129
"Houston, TX","Salt Lake City, UT",1922
"Houston, TX","Lubbock, TX",736
"Houston, TX","Midland/Odessa, TX",689
"Houston, TX","Tulsa, OK",692
"Houston, TX","Richmond, VA",1859
"Houston, TX","Harlingen/San Benito, TX",475
"Houston, TX","Atlanta, GA (Metropolitan Area)",1107
"Houston, TX","Charlotte, NC",1466
"Orlando, FL","Albany, NY",1729
"Orlando, FL","Hartford, CT",1692
"Orlando, FL","Birmingham, AL",771
"Orlando, FL","Nashville, TN",992
"Orlando, FL","Buffalo, NY",1630
"Orlando, FL","Columbus, OH",1294
"Orlando, FL","Pittsburgh, PA",1344
"Orlando, FL","St. Louis, MO",1404
"Orlando, FL","San Francisco, CA (Metropolitan Area)",3929
"Orlando, FL","Sacramento, CA",3868
"Orlando, FL","San Antonio, TX",1672
"Orlando, FL","San Diego, CA",3451
"Orlando, FL","Portland, OR",4073
"Orlando, FL","Raleigh/Durham, NC",836
"Orlando, FL","Rochester, NY",1665
"Orlando, FL","Washington, DC (Metropolitan Area)",1222
"Orlando, FL","Portland, ME",4073
"Orlando, FL","Tulsa, OK",1616
"Orlando, FL","New York City, NY (Metropolitan Area)",1521
"Orlando, FL","Grand Rapids, MI",1650
"Orlando, FL","Las Vegas, NV",3276
"Orlando, FL","Indianapolis, IN",1335
"Orlando, FL","Miami, FL (Metropolitan Area)",309
"Orlando, FL","Louisville, KY",1158
"Orlando, FL","Kansas City, MO",1726
"Orlando, FL","Memphis, TN",1100
"Orlando, FL","Omaha, NE",1948
"Orlando, FL","Milwaukee, WI",1719
"Orlando, FL","New Orleans, LA",885
"Orlando, FL","Norfolk, VA (Metropolitan Area)",1055
"Orlando, FL","Oklahoma City, OK",1718
"Orlando, FL","Des Moines, IA",1837
"Orlando, FL","Atlanta, GA (Metropolitan Area)",650
"Las Vegas, NV","Hartford, CT",3688
"Las Vegas, NV","El Paso, TX",937
"Las Vegas, NV","Cleveland, OH (Metropolitan Area)",2929
"Las Vegas, NV","Boise, ID",837
"Las Vegas, NV","Buffalo, NY",3189
"Las Vegas, NV","Columbus, OH",2842
"Las Vegas, NV","Jacksonville, FL",3155
"Las Vegas, NV","Pittsburgh, PA",3066
"Las Vegas, NV","Nashville, TN",2548
"Las Vegas, NV","St. Louis, MO",2211
"Las Vegas, NV","San Francisco, CA (Metropolitan Area)",664
"Las Vegas, NV","Los Angeles, CA (Metropolitan Area)",379
"Las Vegas, NV","Louisville, KY",2607
"Las Vegas, NV","Sacramento, CA",638
"Las Vegas, NV","Tampa, FL (Metropolitan Area)",3187
"Las Vegas, NV","San Antonio, TX",1717
"Las Vegas, NV","Omaha, NE",1764
"Las Vegas, NV","Milwaukee, WI",2446
"Las Vegas, NV","New Orleans, LA",2409
"Las Vegas, NV","San Diego, CA",416
"Las Vegas, NV","Norfolk, VA (Metropolitan Area)",3458
"Las Vegas, NV","Oklahoma City, OK",1583
"Las Vegas, NV","Portland, OR",1227
"Las Vegas, NV","Raleigh/Durham, NC",3266
"Las Vegas, NV","Reno, NV",555
"Las Vegas, NV","Washington, DC (Metropolitan Area)",3316
"Las Vegas, NV","Tucson, AZ",586
"Las Vegas, NV","Seattle, WA",1395
"Las Vegas, NV","Salt Lake City, UT",591
"Las Vegas, NV","Spokane, WA",1298
"Las Vegas, NV","Tulsa, OK",1727
"Las Vegas, NV","Wichita, KS",1583
"Las Vegas, NV","Richmond, VA",3349
"Las Vegas, NV","Indianapolis, IN",2552
"Las Vegas, NV","Kansas City, MO",1829
"San Francisco, CA (Metropolitan Area)","Pittsburgh, PA",3618
"San Francisco, CA (Metropolitan Area)","Albany, NY",4108
"San Francisco, CA (Metropolitan Area)","Hartford, CT",4214
"San Francisco, CA (Metropolitan Area)","El Paso, TX",1595
"San Francisco, CA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",3469
"San Francisco, CA (Metropolitan Area)","Nashville, TN",3160
"San Francisco, CA (Metropolitan Area)","Boise, ID",840
"San Francisco, CA (Metropolitan Area)","Buffalo, NY",3706
"San Francisco, CA (Metropolitan Area)","Charleston, SC",3846
"San Francisco, CA (Metropolitan Area)","Columbus, OH",3403
"San Francisco, CA (Metropolitan Area)","Jacksonville, FL",3800
"San Francisco, CA (Metropolitan Area)","Grand Rapids, MI",3155
"San Francisco, CA (Metropolitan Area)","Indianapolis, IN",3120
"San Francisco, CA (Metropolitan Area)","St. Louis, MO",2796
"San Francisco, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",3843
"San Francisco, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",3883
"San Francisco, CA (Metropolitan Area)","Tucson, AZ",1208
"San Francisco, CA (Metropolitan Area)","Seattle, WA",1093
"San Francisco, CA (Metropolitan Area)","Spokane, WA",1179
"San Francisco, CA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",543
"San Francisco, CA (Metropolitan Area)","Louisville, KY",3194
"San Francisco, CA (Metropolitan Area)","Kansas City, MO",2406
"San Francisco, CA (Metropolitan Area)","San Antonio, TX",2381
"San Francisco, CA (Metropolitan Area)","Memphis, TN",2901
"San Francisco, CA (Metropolitan Area)","Omaha, NE",2300
"San Francisco, CA (Metropolitan Area)","Milwaukee, WI",2962
"San Francisco, CA (Metropolitan Area)","New Orleans, LA",3069
"San Francisco, CA (Metropolitan Area)","San Diego, CA",718
"San Francisco, CA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",4045
"San Francisco, CA (Metropolitan Area)","Oklahoma City, OK",2221
"San Francisco, CA (Metropolitan Area)","Portland, OR",886
"San Francisco, CA (Metropolitan Area)","Reno, NV",308
"San Francisco, CA (Metropolitan Area)","Atlanta, GA (Metropolitan Area)",3434
"San Francisco, CA (Metropolitan Area)","Charlotte, NC",3686
"San Francisco, CA (Metropolitan Area)","Detroit, MI",3337
"San Francisco, CA (Metropolitan Area)","Salt Lake City, UT",961
"Los Angeles, CA (Metropolitan Area)","Albany, NY",3962
"Los Angeles, CA (Metropolitan Area)","Hartford, CT",4057
"Los Angeles, CA (Metropolitan Area)","Birmingham, AL",2915
"Los Angeles, CA (Metropolitan Area)","El Paso, TX",1147
"Los Angeles, CA (Metropolitan Area)","Boise, ID",1086
"Los Angeles, CA (Metropolitan Area)","Charleston, SC",3541
"Los Angeles, CA (Metropolitan Area)","Columbus, OH",3204
"Los Angeles, CA (Metropolitan Area)","Jacksonville, FL",3457
